aaleniană, s.f.
agrotehnic, s.m.
agrotehnician, s.m.
agrotehniciană, s.f.
agroterasă, s.f.
agroturism, s.n.
agrozootehnic, s.m.
agrozootehnician, s.m.
agrozootehniciană, s.f.
agrozootehnie, s.f.
agru, s.n.
agrumă, s.f.
agrăire, s.f.
agrăită, s.f.
agud, s.m.
agudă, s.f.
aguridă, s.f.
agurijoară, s.f.
aguti, s.m.
agănău, s.n.
agărlâc, s.n.
agățare, s.f.
agățată, s.f.
agățătorie, s.f.
ah, s.n.
ahotnic, s.m.
aht, s.n.
ahtiat, s.n.
ahtiată, s.f.
ahtiere, s.f.
ai, s.m.
aiept, s.n.
aieptare, s.f.
aieptată, s.f.
aior, s.m.
aisberg, s.n.
aisfild, s.n.
aistă, s.f.
aiurare, s.f.
aiureală, s.f.
aiurire, s.f.
aiurită, s.f.
aișor, s.m.
ajun, s.n.
ajunare, s.f.
ajungere, s.f.
ajuns, s.n.
ajunsă, s.f.
ajur, s.n.
ajurare, s.f.
ajurată, s.f.
ajustabilitate, s.f.
ajustabilă, s.f.
ajustaj, s.n.
ajustare, s.f.
ajustată, s.f.
ajutaj, s.n.
ajutare, s.f.
ajutată, s.f.
ajutor, s.n.
ajutorare, s.f.
ajutorată, s.f.
ajutorință, s.f.
ajutorire, s.f.
ajutorită, s.f.
akân, s.m.
ala-bala, s.f.
alabandină, s.f.
alabastru, s.n.
alac, s.n.
alagea, s.f.
alai, s.n.
alait, s.n.
alalie, s.f.
alaman, s.m.
alaman, s.n.
alambic, s.n.
alambicare, s.f.
alambicată, s.f.
alamină, s.f.
alanină, s.f.
alantoidă, s.f.
alarmant, s.m.
alarmantă, s.f.
alarmare, s.f.
alarmată, s.f.
alarmistă, s.f.
alaun, s.n.
alb, s.m.
albadă, s.f.
albaiulian, s.m.
albaiuliancă, s.f.
albaiuliană, s.f.
albanez, s.m.
albaneză, s.f.
albanist, s.m.
albanistică, s.f.
albanolog, s.m.
albanologie, s.f.
albaspină, s.f.
albastru, s.n.
albastră, s.f.
albatros, s.m.
albeală, s.f.
albeață, s.f.
albedo, s.n.
albescență, s.f.
albeț, s.m.
albi, s.m.
albiană, s.f.
albicioasă, s.f.
albiciune, s.f.
albie, s.f.
albier, s.m.
albiliță, s.f.
albime, s.f.
albinar, s.m.
albinare, s.f.
albineală, s.f.
albineț, s.m.
albinioară, s.f.
albinism, s.n.
albiniță, s.f.
albinos, s.m.
albinușă, s.f.
albinuță, s.f.
albină, s.f.
albinărel, s.m.
albinărie, s.f.
albinărit, s.n.
albioară, s.f.
albior, s.m.
albire, s.f.
albitorie, s.f.
albitură, s.f.
albită, s.f.
albiuță, s.f.
albișoară, s.f.
albișor, s.m.
albiță, s.f.
alboare, s.f.
alboradă, s.f.
albui, s.m.
albuleț, s.n.
album, s.n.
albumen, s.n.
albuminoasă, s.f.
albuminoidă, s.f.
albuminometru, s.n.
albuminurie, s.f.
albumină, s.f.
albumiță, s.f.
albumoză, s.f.
alburire, s.f.
alburită, s.f.
alburn, s.n.
albuș, s.n.
albuț, s.m.
albuță, s.f.
albă, s.f.
albăstreală, s.f.
albăstrel, s.m.
albăstrică, s.f.
albăstrime, s.f.
albăstrior, s.m.
albăstrire, s.f.
albăstrită, s.f.
albăstriță, s.f.
albăstrui, s.m.
alcade, s.m.
alcaic, s.m.
alcalde, s.m.
alcaliceluloză, s.f.
alcalimetrie, s.f.
alcalimetru, s.n.
alcalin, s.m.
alcalinitate, s.f.
alcalinizare, s.f.
alcalinizată, s.f.
alcalină, s.f.
alcaliu, s.n.
alcalizare, s.f.
alcaloid, s.m.
alcaloză, s.f.
alcan, s.m.
alcarazas, s.n.
alcazar, s.n.
alchenă, s.f.
alchidal, s.m.
alchil, s.m.
alchilare, s.f.
alchimic, s.m.
alchimie, s.f.
alchimist, s.m.
alchină, s.f.
alcion, s.m.
alcool, s.n.
alcool, s.m.
alcoolemie, s.f.
alcoolic, s.m.
alcoolism, s.n.
alcoolizare, s.f.
alcoolizată, s.f.
alcoolmetrie, s.f.
alcoolmetru, s.n.
alcoolomanie, s.f.
alcoolometrie, s.f.
alcooloscop, s.n.
alcoolotest, s.n.
alcoolscop, s.n.
alcov, s.n.
alcovă, s.f.
alcoxid, s.m.
alcătuială, s.f.
alcătuire, s.f.
alcătuită, s.f.
aldan, s.m.
aldehidă, s.f.
aldin, s.m.
aldină, s.f.
aldohexoză, s.f.
aldol, s.m.
aldosteron, s.m.
aldoză, s.f.
aldămaș, s.n.
alean, s.n.
aleatori, s.m.
aleatorism, s.n.
alebardier, s.m.
alebardă, s.f.
alee, s.f.
alegare, s.f.
alegată, s.f.
alegație, s.f.
alegațiune, s.f.
alegere, s.f.
alegoric, s.m.
alegorie, s.f.
alegorism, s.n.
alegoristă, s.f.
alegorizant, s.m.
alegorizantă, s.f.
alegorizare, s.f.
alegorizată, s.f.
alegrețe, s.f.
alegrizare, s.f.
alegră, s.f.
alejanță, s.f.
alelism, s.n.
alelogamie, s.f.
alelogeneză, s.f.
alelomorfism, s.n.
alelopatie, s.f.
alelă, s.f.
alem, s.n.
alemandă, s.f.
alenă, s.f.
alergare, s.f.
alergată, s.f.
alergen, s.m.
alergenă, s.f.
alergic, s.m.
alergie, s.f.
alergografie, s.f.
alergolog, s.m.
alergologic, s.m.
alergologie, s.f.
alergologă, s.f.
alergoză, s.f.
alergătură, s.f.
alert, s.m.
alertare, s.f.
alertată, s.f.
alertețe, s.f.
alertă, s.f.
alesidă, s.f.
alestâncă, s.f.
alesătură, s.f.
aleurit, s.n.
aleurolit, s.n.
aleurometru, s.n.
aleuronat, s.n.
aleuronă, s.f.
alevin, s.m.
alevinaj, s.n.
alevinieră, s.f.
alexandrin, s.m.
alexandrinism, s.n.
alexandrină, s.f.
alexandrit, s.n.
alexie, s.f.
alexină, s.f.
alexitimie, s.f.
alezaj, s.n.
alezare, s.f.
alezator, s.n.
alezată, s.f.
alezie, s.f.
alezor, s.n.
aleză, s.f.
alfabet, s.n.
alfabetar, s.n.
alfabetizare, s.f.
alfabetizată, s.f.
alfanumeric, s.m.
alfatron, s.n.
alfatron, s.n.
algebric, s.m.
algebristă, s.f.
algebrizare, s.f.
algebrologică, s.f.
algebră, s.f.
algerian, s.m.
algeriancă, s.f.
algeriană, s.f.
algezie, s.f.
algezimetrie, s.f.
algezimetru, s.n.
algiditate, s.f.
algidă, s.f.
algie, s.f.
algină, s.f.
algocalmin, s.n.
algofobie, s.f.
algogen, s.m.
algogenă, s.f.
algol, s.n.
algolog, s.m.
algologic, s.m.
algologie, s.f.
algologă, s.f.
algomanie, s.f.
algonkiană, s.f.
algonkină, s.f.
algoritm, s.m.
algoritmic, s.m.
algoritmistă, s.f.
algoritmizare, s.f.
algrafie, s.f.
alguazil, s.m.
algă, s.f.
aliaj, s.n.
alianță, s.f.
alias, s.n.
aliată, s.f.
alibi, s.n.
alic, s.n.
alicire, s.f.
alicită, s.f.
alicneală, s.f.
alicotă, s.f.
alicuantă, s.f.
alică, s.f.
alicărie, s.f.
alidadă, s.f.
alienabilitate, s.f.
alienabilă, s.f.
alienantă, s.f.
alienare, s.f.
alienată, s.f.
alienație, s.f.
alienistă, s.f.
aliere, s.f.
alifie, s.f.
alifioasă, s.f.
aligator, s.m.
alignire, s.f.
alimbare, s.f.
alimbată, s.f.
aliment, s.n.
alimentar, s.m.
alimentare, s.f.
alimentară, s.f.
alimentator, s.n.
alimentată, s.f.
alimentație, s.f.
alinare, s.f.
alinată, s.f.
alineat, s.n.
aliniament, s.n.
aliniată, s.f.
aliniere, s.f.
alint, s.n.
alintare, s.f.
alintată, s.f.
alintătură, s.f.
alinătură, s.f.
alior, s.m.
aliotman, s.n.
alipire, s.f.
alipită, s.f.
alismatacee, s.f.
alitare, s.f.
aliterativă, s.f.
aliterație, s.f.
alizarină, s.f.
alizeu, s.n.
alișveriș, s.n.
allemandă, s.f.
almanah, s.n.
almandin, s.n.
almar, s.n.
almee, s.f.
alocabilă, s.f.
alocare, s.f.
alocată, s.f.
alocație, s.f.
alocentrism, s.n.
alocorie, s.f.
alocromatism, s.n.
alocutor, s.m.
alocuțiune, s.f.
alodial, s.m.
alodialitate, s.f.
alodială, s.f.
alodiu, s.n.
alofon, s.n.
alogam, s.m.
alogamie, s.f.
alogamă, s.f.
alogen, s.m.
alogeneză, s.f.
alogenă, s.f.
alogic, s.m.
alogism, s.n.
alohton, s.m.
alohtonă, s.f.
alolalie, s.f.
alolingv, s.m.
alomorfie, s.f.
alonjă, s.f.
alopatie, s.f.
alopecie, s.f.
aloplastie, s.f.
alotropic, s.m.
alotropie, s.f.
alotropism, s.n.
aloxan, s.n.
alozaur, s.m.
alozom, s.m.
alpaca, s.f.
alpenștoc, s.n.
alpestră, s.f.
alpin, s.m.
alpinism, s.n.
alpinistă, s.f.
alpină, s.f.
alsaciană, s.f.
altaic, s.m.
altar, s.n.
alterabilitate, s.f.
alterabilă, s.f.
alterare, s.f.
alterată, s.f.
alterație, s.f.
altercație, s.f.
alteritate, s.f.
altern, s.m.
alternant, s.m.
alternantă, s.f.
alternanță, s.f.
alternare, s.f.
alternativă, s.f.
alternator, s.n.
alternată, s.f.
alternă, s.f.
alteță, s.f.
althorn, s.n.
althorn, s.m.
altigraf, s.n.
altimetric, s.m.
altimetrie, s.f.
altimetru, s.n.
altiplanație, s.f.
altitelemetru, s.n.
altitudinală, s.f.
altitudine, s.f.
altiță, s.f.
altogravură, s.f.
altoi, s.n.
altoială, s.f.
altoire, s.f.
altoit, s.n.
altoitor, s.m.
altoită, s.f.
altorelief, s.n.
altruism, s.n.
altruistă, s.f.
altă, s.f.
aluat, s.n.
alumin, s.n.
aluminat, s.m.
aluminifer, s.m.
aluminit, s.n.
aluminiu, s.n.
aluminium, s.n.
aluminizare, s.f.
aluminizată, s.f.
aluminoasă, s.f.
aluminosilicat, s.m.
aluminotermie, s.f.
alumină, s.f.
alumnat, s.n.
alun, s.m.
alunar, s.m.
alunaș, s.m.
alunea, s.f.
alunecare, s.f.
alunecoasă, s.f.
alunecuș, s.n.
alunecătură, s.f.
alunel, s.m.
alunet, s.n.
alungare, s.f.
alungată, s.f.
alungire, s.f.
alungită, s.f.
aluni, s.m.
alunică, s.f.
alunizare, s.f.
aluniș, s.n.
aluniță, s.f.
alună, s.f.
alură, s.f.
aluvial, s.m.
aluvială, s.f.
aluvionar, s.m.
aluvionare, s.f.
aluvionară, s.f.
aluviu, s.n.
aluviune, s.f.
aluzie, s.f.
aluzionare, s.f.
aluziune, s.f.
aluzivitate, s.f.
aluzivă, s.f.
alvanită, s.f.
alveograf, s.n.
alveolar, s.m.
alveolare, s.f.
alveolară, s.f.
alveolată, s.f.
alveolită, s.f.
alveolă, s.f.
alvițar, s.m.
alviță, s.f.
ală, s.f.
alămar, s.m.
alămi, s.m.
alămire, s.f.
alămită, s.f.
alămâioară, s.f.
alămărie, s.f.
alăptare, s.f.
alăptată, s.f.
alăsidă, s.f.
alăturare, s.f.
alăturată, s.f.
alăută, s.f.
amabilitate, s.f.
amabilă, s.f.
amalgam, s.n.
amalgamare, s.f.
amalgamator, s.n.
amalgamată, s.f.
amalgamizare, s.f.
amandină, s.f.
amanet, s.n.
amanetare, s.f.
amanetată, s.f.
amant, s.m.
amantă, s.f.
amar, s.n.
amar, s.m.
amaraj, s.n.
amarant, s.m.
amarare, s.f.
amarilis, s.m.
amarinare, s.f.
amarinizare, s.f.
amarnic, s.m.
amară, s.f.
amastie, s.f.
amatorism, s.n.
amauroză, s.f.
amazoană, s.f.
amazonit, s.n.
ambalaj, s.n.
ambalare, s.f.
ambalată, s.f.
ambar, s.n.
ambarasare, s.f.
ambarcader, s.n.
ambarcare, s.f.
ambarcație, s.f.
ambarcațiune, s.f.
ambardare, s.f.
ambardee, s.f.
ambasador, s.m.
ambasadă, s.f.
ambetant, s.m.
ambetantă, s.f.
ambetare, s.f.
ambetată, s.f.
ambiant, s.m.
ambiantă, s.f.
ambianță, s.f.
ambidextrie, s.f.
ambidextră, s.f.
ambielaj, s.n.
ambient, s.n.
ambiental, s.m.
ambientală, s.f.
ambigen, s.m.
ambigenă, s.f.
ambiguitate, s.f.
ambiguizare, s.f.
ambiguizată, s.f.
ambiguă, s.f.
ambiofonie, s.f.
ambitus, s.n.
ambivalent, s.m.
ambivalentă, s.f.
ambivalență, s.f.
ambiție, s.f.
ambițioasă, s.f.
ambiționare, s.f.
ambiționată, s.f.
ambițiune, s.f.
ambliop, s.m.
ambliopie, s.f.
ambosaj, s.n.
ambosare, s.f.
ambranșament, s.n.
ambrasă, s.f.
ambrazură, s.f.
ambreiaj, s.n.
ambreiare, s.f.
ambreiată, s.f.
ambreiere, s.f.
ambreior, s.m.
ambroziac, s.m.
ambroziacă, s.f.
ambrozie, s.f.
ambră, s.f.
ambulacrar, s.m.
ambulacrară, s.f.
ambulacru, s.n.
ambulant, s.m.
ambulantă, s.f.
ambulanță, s.f.
ambulație, s.f.
ambuscadă, s.f.
ambuscat, s.m.
ambuscată, s.f.
ambuteiaj, s.n.
ambuteiată, s.f.
ambuteiere, s.f.
ambutisaj, s.n.
ambutisare, s.f.
ambutisată, s.f.
ambutisor, s.m.
ambușură, s.f.
ameliorabilă, s.f.
ameliorant, s.m.
ameliorantă, s.f.
ameliorare, s.f.
ameliorativă, s.f.
ameliorată, s.f.
ameliorație, s.f.
ameliorațiune, s.f.
amenajabilă, s.f.
amenajament, s.n.
amenajare, s.f.
amenajată, s.f.
amenajistă, s.f.
amendabilă, s.f.
amendament, s.n.
amendare, s.f.
amendată, s.f.
amendă, s.f.
amenințare, s.f.
amenințată, s.f.
amenitate, s.f.
amenoree, s.f.
ament, s.m.
amentacee, s.f.
amentivă, s.f.
amenție, s.f.
amerafrican, s.m.
amerafricană, s.f.
american, s.m.
americancă, s.f.
americanism, s.n.
americanistică, s.f.
americanistă, s.f.
americanizare, s.f.
americanizată, s.f.
americană, s.f.
americiu, s.n.
americium, s.n.
americă, s.f.
amerindiană, s.f.
amerizaj, s.n.
amerizare, s.f.
amerizor, s.n.
amestec, s.n.
amestecare, s.f.
amestecată, s.f.
amestecător, s.n.
amestecătură, s.f.
ametabolă, s.f.
ametist, s.n.
ametrop, s.m.
ametropie, s.f.
ametropă, s.f.
amețeală, s.f.
amețire, s.f.
amețită, s.f.
amfetamină, s.f.
amfiartroză, s.f.
amfibian, s.m.
amfibol, s.m.
amfibolie, s.f.
amfibologic, s.m.
amfibologie, s.f.
amfibrah, s.m.
amfibrahic, s.m.
amficarpie, s.f.
amficțion, s.m.
amficționie, s.f.
amfidromic, s.m.
amfigonie, s.f.
amfiguric, s.m.
amfimacru, s.m.
amfimixie, s.f.
amfineurian, s.m.
amfipod, s.n.
amfiprostil, s.n.
amfipteră, s.f.
amfitrioană, s.f.
amfitrion, s.m.
amfitrion, s.n.
amforetă, s.f.
amforofonie, s.f.
amforă, s.f.
amfoter, s.m.
amfotonie, s.f.
amiabilă, s.f.
amiant, s.n.
amiantă, s.f.
amibă, s.f.
amic, s.m.
amical, s.m.
amicală, s.f.
amicie, s.f.
amiciție, s.f.
amidază, s.f.
amidină, s.f.
amidol, s.n.
amidon, s.n.
amidon, s.n.
amidopirină, s.f.
amidură, s.f.
amidă, s.f.
amielie, s.f.
amiezită, s.f.
amigdalectomie, s.f.
amigdaliană, s.f.
amigdalită, s.f.
amigdaloidă, s.f.
amigdală, s.f.
amil, s.m.
amilază, s.f.
amilodextrină, s.f.
amilograf, s.n.
amilogramă, s.f.
amiloidoză, s.f.
amilopectină, s.f.
amiloză, s.f.
amimie, s.f.
amin, s.n.
aminare, s.f.
amino, s.n.
aminoacid, s.m.
aminoacidemie, s.f.
aminoacidurie, s.f.
aminoalcool, s.m.
aminobenzen, s.m.
aminobenzoic, s.m.
aminoplast, s.n.
aminozahar, s.n.
amintire, s.f.
amintită, s.f.
amină, s.f.
amiotrofie, s.f.
amiral, s.m.
amiralitate, s.f.
amirosire, s.f.
amirosită, s.f.
amitoză, s.f.
amnar, s.n.
amnezic, s.m.
amnezie, s.f.
amnios, s.n.
amniot, s.m.
amniotic, s.n.
amniotă, s.f.
amnistiabilă, s.f.
amnistiată, s.f.
amnistie, s.f.
amnistiere, s.f.
amnăruș, s.n.
amoc, s.n.
amofos, s.n.
amonal, s.n.
amoniac, s.m.
amoniacal, s.m.
amoniacală, s.f.
amoniat, s.m.
amonificare, s.f.
amoniu, s.n.
amoniurie, s.f.
amonoliză, s.f.
amor, s.n.
amoral, s.m.
amoralism, s.n.
amoralistă, s.f.
amoralitate, s.f.
amorală, s.f.
amoraș, s.m.
amoretă, s.f.
amorez, s.m.
amorezare, s.f.
amorezată, s.f.
amoreză, s.f.
amorf, s.m.
amorfie, s.f.
amorfism, s.n.
amorfă, s.f.
amoroasă, s.f.
amorsaj, s.n.
amorsare, s.f.
amorsată, s.f.
amorsă, s.f.
amortibil, s.m.
amortibilă, s.f.
amortisment, s.n.
amortizabilă, s.f.
amortizare, s.f.
amortizată, s.f.
amortizor, s.n.
amorțeală, s.f.
amorțire, s.f.
amorțită, s.f.
amovibilitate, s.f.
ampatament, s.n.
ampatament, s.n.
ampelidacee, s.f.
ampelograf, s.m.
ampelografic, s.m.
ampelografie, s.f.
ampelografă, s.f.
ampelologie, s.f.
ampenaj, s.n.
amper-oră, s.f.
amper-spiră, s.f.
amper, s.m.
amperaj, s.n.
ampermetru, s.n.
amperormetru, s.n.
amperoră, s.f.
ampicilină, s.f.
amplasament, s.n.
amplasare, s.f.
amplasată, s.f.
amplectivă, s.f.
amplexicaul, s.m.
amplexicaulă, s.f.
amplexiflor, s.m.
amplexiune, s.f.
amplifiant, s.m.
amplifiantă, s.f.
amplificare, s.f.
amplificată, s.f.
amplificație, s.f.
amplitudine, s.f.
amplituner, s.n.
amploare, s.f.
amplă, s.f.
ampolozitate, s.f.
amprentare, s.f.
amprentologie, s.f.
amprentă, s.f.
ampriză, s.f.
ampulă, s.f.
amputare, s.f.
amputată, s.f.
amputație, s.f.
amuletă, s.f.
amurg, s.n.
amurgire, s.f.
amurgit, s.n.
amurgită, s.f.
amuzament, s.n.
amuzant, s.m.
amuzantă, s.f.
amuzare, s.f.
amuzată, s.f.
amuzie, s.f.
amuș, s.n.
amușire, s.f.
amușită, s.f.
amuțire, s.f.
amuțită, s.f.
amvon, s.n.
amvon, s.n.
amânare, s.f.
amânată, s.f.
amăgeală, s.f.
amănunt, s.m.
amănunt, s.n.
amănuntă, s.f.
amănunțime, s.f.
amănunțire, s.f.
amănunțit, s.n.
amănunțită, s.f.
amăreală, s.f.
amărunt, s.n.
amăruță, s.f.
amărât, s.m.
amărâtă, s.f.
amărăciune, s.f.
amărăluță, s.f.
amărătăciune, s.f.
an, s.m.
ana, s.f.
anabaptism, s.n.
anabaptistă, s.f.
anabioză, s.f.
anabolism, s.n.
anacard, s.n.
anacardier, s.m.
anaciclic, s.m.
anaciditate, s.f.
anaclază, s.f.
anaclinală, s.f.
anaclorhidrie, s.f.
anacolut, s.n.
anacondă, s.f.
anacronic, s.m.
anacronie, s.f.
anacronism, s.n.
anacronizare, s.f.
anacrotism, s.n.
anacruzic, s.m.
anacruzie, s.f.
anacruză, s.f.
anacuzie, s.f.
anadiploză, s.f.
anadipsie, s.f.
anaerobioză, s.f.
anafază, s.f.
anafie, s.f.
anafilaxie, s.f.
anafor, s.n.
anafora, s.f.
anaforeză, s.f.
anaforic, s.m.
anaforniță, s.f.
anaforă, s.f.
anafrodiziac, s.m.
anafrodiziacă, s.f.
anafrodizie, s.f.
anafură, s.f.
anageneză, s.f.
anaglifă, s.f.
anagnost, s.m.
anagogic, s.m.
anagogie, s.f.
anagramare, s.f.
anagramatist, s.m.
anagramatizare, s.f.
anagramatizată, s.f.
anagramată, s.f.
anagramă, s.f.
anahoret, s.m.
anahoretism, s.n.
anahoretă, s.f.
analepsie, s.f.
analfabet, s.m.
analfabetism, s.n.
analfabetă, s.f.
analgeziant, s.m.
analgeziantă, s.f.
analgezic, s.m.
analgezie, s.f.
analgezină, s.f.
analgizare, s.f.
analistă, s.f.
analitism, s.n.
analizator, s.n.
analizor, s.n.
analoagă, s.f.
analobară, s.f.
analog, s.n.
analog, s.m.
analog, s.n.
analoghion, s.n.
analoghion, s.n.
analogic, s.m.
analogie, s.f.
analogism, s.n.
analogizare, s.f.
analogrif, s.n.
anală, s.f.
anamneză, s.f.
anamniotă, s.f.
anamorfism, s.n.
anamorfozare, s.f.
anamorfozator, s.n.
anamorfozată, s.f.
anamorfoză, s.f.
ananas, s.m.
anandrie, s.f.
ananghie, s.f.
anapest, s.m.
anaplastie, s.f.
anaplazie, s.f.
anaptixă, s.f.
anarhic, s.m.
anarhie, s.f.
anarhism, s.n.
anarhist, s.m.
anarhistă, s.f.
anarhizare, s.f.
anarhoindividualism, s.n.
anarhosindicalism, s.n.
anarhosindicalistă, s.f.
anartrie, s.f.
anasarhie, s.f.
anaseism, s.n.
anason, s.m.
anastigmatism, s.n.
anastigmată, s.f.
anastiloză, s.f.
anastomozare, s.f.
anastomozată, s.f.
anastomoză, s.f.
anastrofă, s.f.
anatemizare, s.f.
anatemizată, s.f.
anatemă, s.f.
anatexie, s.f.
anatidă, s.f.
anatocism, s.n.
anatomic, s.m.
anatomie, s.f.
anatomistă, s.f.
anatomologie, s.f.
anatomopatolog, s.m.
anatomopatologic, s.m.
anatomopatologă, s.f.
anatoxină, s.f.
ancablură, s.f.
ancadrament, s.n.
ancastrament, s.n.
anceps, s.n.
ancestral, s.m.
ancestralitate, s.f.
ancestrală, s.f.
anchetare, s.f.
anchetată, s.f.
anchetă, s.f.
anchilostom, s.m.
anchilostomiază, s.f.
anchilozare, s.f.
anchilozată, s.f.
anchiloză, s.f.
ancie, s.f.
ancilar, s.m.
ancilară, s.f.
anclanșare, s.f.
anclanșată, s.f.
anclavă, s.f.
ancolaj, s.n.
ancolare, s.f.
ancolată, s.f.
ancombrament, s.n.
ancombranță, s.f.
anconă, s.f.
ancoraj, s.n.
ancorare, s.f.
ancorator, s.n.
ancorată, s.f.
ancorot, s.n.
ancoră, s.f.
ancrasare, s.f.
ancrasată, s.f.
andaluz, s.m.
andaluzit, s.n.
andaluză, s.f.
andezin, s.n.
andezit, s.n.
andin, s.m.
andină, s.f.
andivă, s.f.
andocare, s.f.
andocată, s.f.
andosaj, s.n.
andosament, s.n.
andosant, s.m.
andosantă, s.f.
andosare, s.f.
andosatar, s.m.
andosator, s.m.
andosată, s.f.
andradit, s.n.
andragogie, s.f.
andrea, s.f.
androceu, s.n.
androfobie, s.f.
androgen, s.m.
androgeneză, s.f.
androgenie, s.f.
androgenă, s.f.
androgin, s.m.
androginie, s.f.
androgină, s.f.
android, s.m.
androlatrie, s.f.
androlog, s.m.
andrologie, s.f.
andromastie, s.f.
andromedidă, s.f.
andropatie, s.f.
andropauză, s.f.
androsteril, s.m.
androsterilitate, s.f.
androsteronă, s.f.
andruc, s.n.
anduranță, s.f.
aneantizare, s.f.
aneantizată, s.f.
anecdotism, s.n.
anecdotistă, s.f.
anecdotizare, s.f.
anecdotă, s.f.
anecoidă, s.f.
anelid, s.n.
anemiată, s.f.
anemic, s.m.
anemie, s.f.
anemiere, s.f.
anemocor, s.m.
anemocord, s.n.
anemocord, s.n.
anemofil, s.m.
anemofilie, s.f.
anemofilă, s.f.
anemograf, s.n.
anemografie, s.f.
anemogramă, s.f.
anemometric, s.m.
anemometrie, s.f.
anemometru, s.n.
anemonă, s.f.
anemoscop, s.n.
anemostat, s.n.
anemotrop, s.n.
anemotropism, s.n.
anencefal, s.m.
anencefalie, s.f.
anencefală, s.f.
anereză, s.f.
anergie, s.f.
aneroid, s.n.
anesteziant, s.m.
anesteziantă, s.f.
anesteziată, s.f.
anestezic, s.m.
anestezie, s.f.
anesteziere, s.f.
anestezimetru, s.n.
anesteziolog, s.m.
anesteziologie, s.f.
anesteziologist, s.m.
anesteziologă, s.f.
anestezistă, s.f.
aneuploidie, s.f.
aneuploidă, s.f.
aneurie, s.f.
aneurină, s.f.
aneuroză, s.f.
anevoință, s.f.
anevoioasă, s.f.
anevrism, s.n.
anevrismal, s.m.
anevrismală, s.f.
anexare, s.f.
anexată, s.f.
anexionism, s.n.
anexionistă, s.f.
anexită, s.f.
anexiune, s.f.
anexă, s.f.
anfiladă, s.f.
anfractuozitate, s.f.
angajament, s.n.
angajant, s.m.
angajantă, s.f.
angajare, s.f.
angajată, s.f.
angara, s.f.
angarie, s.f.
angeită, s.f.
angelică, s.f.
angelină, s.f.
angelism, s.n.
angelitate, s.f.
angelizare, s.f.
angelolatrie, s.f.
angelolatră, s.f.
angelologie, s.f.
anghelică, s.f.
anghemaht, s.n.
anghilă, s.f.
anghină, s.f.
angină, s.f.
angiocardiografie, s.f.
angiocolită, s.f.
angiofluorografie, s.f.
angiogenie, s.f.
angiografic, s.m.
angiografie, s.f.
angiologic, s.m.
angiologie, s.f.
angiom, s.n.
angiopatie, s.f.
angiospasm, s.n.
angiosperm, s.m.
angiospermă, s.f.
angledozer, s.n.
anglicanism, s.n.
anglicană, s.f.
anglicism, s.n.
anglicistă, s.f.
anglicizare, s.f.
anglicizată, s.f.
anglie, s.f.
anglistică, s.f.
anglistă, s.f.
anglofil, s.m.
anglofilie, s.f.
anglofilă, s.f.
anglofob, s.m.
anglofobie, s.f.
anglofobă, s.f.
anglofon, s.m.
anglofonie, s.f.
angloman, s.m.
anglomanie, s.f.
angoasant, s.m.
angoasantă, s.f.
angoasare, s.f.
angoasată, s.f.
angoasă, s.f.
angobă, s.f.
angofrazie, s.f.
angolez, s.m.
angoleză, s.f.
angrenaj, s.n.
angrenare, s.f.
angrenată, s.f.
angro, s.n.
angrosistă, s.f.
angstrom, s.m.
anguidă, s.f.
angular, s.m.
angulară, s.f.
angulație, s.f.
angărie, s.f.
anhidridă, s.f.
anhidrit, s.n.
anhidroză, s.f.
anhidră, s.f.
aniconic, s.m.
anihilant, s.m.
anihilantă, s.f.
anihilare, s.f.
anihilată, s.f.
anil, s.n.
anilină, s.f.
anilism, s.n.
animal, s.n.
animal, s.n.
animalcul, s.m.
animalculism, s.n.
animalic, s.m.
animalicul, s.m.
animalier, s.m.
animalitate, s.f.
animalizare, s.f.
animalizată, s.f.
animală, s.f.
animare, s.f.
animatism, s.n.
animată, s.f.
animație, s.f.
anime, s.n.
animism, s.n.
animistă, s.f.
animologie, s.f.
animozitate, s.f.
anin, s.m.
aninare, s.f.
aninată, s.f.
aniniș, s.n.
aniniște, s.f.
aninătoare, s.f.
anion, s.m.
anionactivă, s.f.
aniset, s.n.
anisidină, s.f.
anisol, s.m.
anison, s.m.
anistoric, s.m.
anistoricitate, s.f.
anistorism, s.n.
aniversar, s.m.
aniversare, s.f.
aniversară, s.f.
aniversată, s.f.
anizocitoză, s.f.
anizogamie, s.f.
anizometropie, s.f.
anizopetal, s.m.
anizopetală, s.f.
anizotrop, s.m.
anizotropie, s.f.
anizotropă, s.f.
anișor, s.m.
anluminură, s.f.
anod, s.m.
anodic, s.m.
anodin, s.m.
anodină, s.f.
anodontă, s.f.
anodonție, s.f.
anofelism, s.n.
anofelogen, s.m.
anofelogenă, s.f.
anoftalmie, s.f.
anomal, s.m.
anomalie, s.f.
anomală, s.f.
anomic, s.m.
anomie, s.f.
anominație, s.f.
anonim, s.m.
anonimat, s.n.
anonimitate, s.f.
anonimografie, s.f.
anonimă, s.f.
anorexie, s.f.
anorganic, s.m.
anorganician, s.m.
anorganiciană, s.f.
anorganicitate, s.f.
anorhidie, s.f.
anormal, s.m.
anormalitate, s.f.
anormală, s.f.
anortit, s.n.
anosmie, s.f.
anosteală, s.f.
anostie, s.f.
anostire, s.f.
anostită, s.f.
anostă, s.f.
anotimp, s.n.
anovarie, s.f.
